parameter	value
cami3_source_readmap_scope_audit_result	All-row mapped pct is sample0=79.832%, sample1=79.059%, sample2=84.914%. Profile-scope mapped pct after out-of-scope separation is sample0=93.827%, sample1=94.554%, sample2=96.870%. Samples0/1 need 220749 and 103277 additional in-scope rows mapped to reach 95%, 324026 total.
cami3_source_readmap_scope_audit_top_sources	Top in-scope sources to review are ASV579.0, ASV783.5, ASV134.7 for sample0 and ASV579.0, ASV134.7, ASV476.8 for sample1.
cami3_source_readmap_scope_audit_decision	Historical scope-only result: do not promote on scope audit alone. This row is superseded for samples0-2 by the exact-binomial fallback rescore and truth-policy audit; the scope audit remains provenance for the release-upgrade path.
candidate_preset_genus_xny_blend_audit	audit_candidate_preset_genus_xny_blend.py post-processes the 32 selected-default candidate-preset profiles with an abundance-only alpha 0.25 within-genus split-XnY blend over base called rows while preserving candidate-row mass.
candidate_preset_genus_xny_blend_decision	Calls unchanged and all four panel mean L1 values improve, but 6/32 samples regress and the maximum sample L1 increase is 0.993420 pp. Keep --abundance-genus-xny-blend-alpha off by default; the next abundance target is a sample-safe matched-call mass allocator.
candidate_preset_genus_xny_blend_guard_audit	audit_candidate_preset_genus_xny_blend_guard.py searches output-only single-feature and simple two-feature threshold guards over selected-default profiles and deterministic blend-perturbation features, then validates guard selection by leave-one-panel-out.
candidate_preset_genus_xny_blend_guard_decision	3,722 guards tested; 394 are sample-safe in-panel and 3,509 are panel-safe, but leave-one-panel-out still has held-out sample regressions in two holdout panels with max_sample_worse=0.220479 pp. Keep adaptive blend guard off by default.
candidate_preset_genus_xny_alpha_sweep	audit_candidate_preset_genus_xny_alpha_sweep.py tests selected-default base-row within-genus split-XnY reallocation at alpha 0.02, 0.05, 0.10, 0.15, alpha 0.25 with a per-genus movement cap of 0.005 of sample base mass, and alpha 0.25 uncapped.
candidate_preset_genus_xny_alpha_sweep_decision	All six alpha/cap variants improve all four panel mean L1 values, but none is sample-safe. Even alpha 0.02 regresses 4/32 samples with max_sample_worse=0.044407 pp. Keep this redistribution family off by default.
cami3_resolver_reviewed_top_sources_per_sample	20
cami3_resolver_current_truth_transfer	WGS-prefix transfer followed by unique NCBI-taxid transfer; remaining in-scope rows are treated as unmapped.
cami3_resolver_candidate_rules	Try unique taxid first, then unique NCBI species-name, then unique exact GTDB-binomial fallback over cached GTDB metadata. Use the fallback only as a rescoring candidate, not as current release truth.
cami3_resolver_candidate_result	Reviewed 3258804 top in-scope unmapped rows; candidate fallback resolves 1732020 rows. Projected profile-scope mapped pct: sample0=95.941, sample1=96.806, sample2=99.908.
cami3_resolver_candidate_decision	Do not promote CAMI3 source-readmap to release-grade evidence until a rescored truth-transfer audit validates the fallback and benchmark scores.
cami3_binomial_fallback_rescore_input	Cached source-level tables cami3_gtdb_source_readmap_truth.tsv, cami3_gtdb_source_readmap_source_genomes.tsv, cami3_source_readmap_resolver_candidates.tsv, and cached profiler outputs referenced by score_cami3_gtdb_source_readmap.py.
cami3_binomial_fallback_rescore_result	Fallback adds 1732020 truth rows. Adjusted profile-scope mapped pct: sample0=95.941, sample1=96.806, sample2=99.908. Mean F1: MinCO=0.853058, Sylph=0.762024. Mean L1 pp: MinCO=61.884168, Sylph=31.103234.
cami3_binomial_fallback_rescore_decision	Diagnostic only. It strengthens CAMI3 as a potential release-grade F1 holdout if exact GTDB-binomial fallback is accepted as truth policy, but it also confirms Sylph remains stronger for abundance on this panel.
cami3_candidate_default_binomial_fallback_profiles	/tmp/minco_candidate_preset_replay_20260629/cami3_sample{0,1,2}.candidate_preset.tsv
cami3_candidate_default_binomial_fallback_result	Selected candidate default against accepted fallback truth: mean F1 MinCO=0.862183 vs Sylph=0.762024; mean L1 pp MinCO=55.919344 vs Sylph=31.103234; mean Pearson MinCO=0.866593 vs Sylph=0.947203.
cami3_binomial_fallback_truth_policy	Accept exact GTDB-binomial fallback for CAMI3 source-readmap release truth when the fallback is a unique GTDB binomial and either the source has no prior WGS/unique-taxid mapping or the fallback assigns only an unmapped remainder to the same prior GTDB species.
cami3_binomial_fallback_truth_policy_result	51/51 fallback rows pass unique-binomial determinism; priority_conflicts=0; same_species_remainders=2; profile-scope ready samples=0,1,2 with min adjusted pct 95.941.
cami3_manifest_promotion	CAMI3 source-readmap samples0-2 promoted to release-grade evidence using truth_namespace=GTDB_species_source_readmap_binomial_fallback and selected default method minco_candidate_default_binomial_fallback.
release_snapshot_after_cami3_promotion	Matched panel scope is panels=4;release=4;diagnostic=0. Candidate-vs-previous-MinCO regressions remain 0/0/0 for F1/L1/Pearson. Candidate-vs-Sylph remains F1_wins=1/4;L1_wins=0/4;Pearson_wins=0/4.
cami3_source_readmap_extension_cache_audit	audit_cami3_source_readmap_extension_cache.py checks local file presence only for extending the accepted source-readmap panel from samples0-2 to samples3-5. It does not rerun profilers or infer release truth from weaker tables.
cami3_source_readmap_extension_cache_result	Historical pre-recovery cache audit: accepted subset ready=3/3 and extension subset release-ready=0/3 because source-readmap truth cache was absent at audit time. This row is superseded as current route state by cami3_source_readmap_extension_after_recovery_result, where readmaps=3/3 and samples3-5 are scored negative for allocator promotion.
cami3_source_readmap_extension_cache_decision	Do not extend the release panel from current cache. Samples3-5 now require source-readmap truth cache in the same namespace.
cami3_source_readmap_extension_generator_check	build_strategy_decision_summary.py now emits decision check cami3_source_readmap_extension_cache_blocks_release_extension and records the same blocker in results/objective_audit.tsv and OBJECTIVE_COMPLETION_AUDIT.md.
marine_binomial_transfer_rule	CAMI II marine truth transfer uses unique NCBI taxid first, then exact unique GTDB-binomial fallback from the gold-profile species label. This is a feasibility audit only and does not rerun profilers.
marine_binomial_transfer_result	All 10 marine gold-profile samples audited. Exact-binomial fallback rescues 59.034500 abundance-percentage-points of species truth mass, but minimum mapped Bacteria/Archaea truth mass remains 91.005806%, below the 95% release threshold.
marine_binomial_transfer_decision	Do not promote marine. Truth transfer remains partial, and the cached scored subset also lacks selected-default profiles in the same namespace.
hmp_airskin_sample26_cleanup_before_run	Removed approved temporary read caches /tmp/cami_marine_sample1_reads.fq.gz, /tmp/cami_marine_sample2_reads.fq.gz, and /tmp/minco_context_em_external_20260624/cami_marine_sample0_reads.fq.gz; this restored /tmp headroom for one HMP recovery run.
hmp_airskin_sample26_fastq	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample26.nonzero.fastq.gz; size=4.2G; temporary.
hmp_airskin_sample26_stream_time	Wall=5:48.61; max_RSS=11264 KB; exit=0.
hmp_airskin_sample26_minco_time	Wall=3:34.08; max_RSS=3825548 KB; exit=0; command=scripts/minco_profile_default.py --profile-preset candidate via default wrapper.
hmp_airskin_sample26_sylph_time	Sketch wall=0:50.90 max_RSS=988020 KB; profile wall=3:00.89 max_RSS=27232608 KB; exit=0.
hmp_airskin_sample26_score	Truth species=69; MinCO F1=0.8823529411764706 L1_union_pp=31.580381823977905 Pearson_union=0.973380282577332; external baseline F1=0.9264705882352942 L1_union_pp=20.141523122918255 Pearson_union=0.983202695506267.
hmp_airskin_25sample_with_sample26_score	MinCO mean_F1=0.8700951482456354 pooled_F1=0.8498054474708172 mean_L1_union_pp=22.900200696234382 Pearson_union=0.9806220454546453; external baseline mean_F1=0.9595543573478296 pooled_F1=0.9627408993576017 mean_L1_union_pp=5.948136182133927 Pearson_union=0.9973599214864044.
hmp_omitted_inventory_after_sample26	samples=2,8,12,26,27;truth=5/5;minco_profile=1/5;sylph_profile=1/5;ready_pairs=1/5;next action sample=2.
hmp_next_headroom_after_sample26	/tmp free=12.348 GiB; estimated required=6.531 GiB; conservative floor=12 GiB; alternate /mnt/new3T free=10.217 GiB; recommended_action=run_next_sample.
universal_strategy_route_audit_dynamic_counts	audit_universal_strategy_next_evidence_routes.py now derives HMP omitted profile/read counts from feature_allocator_refined_independent_holdout_inventory.tsv instead of a fixed 0/5 string; tests cover the 1/5 restored state.
hmp_airskin_sample2_fastq	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample2.nonzero.fastq.gz; size=4.2G; temporary.
hmp_airskin_sample2_stream_time	Wall=5:38.11; max_RSS=11264 KB; exit=0.
hmp_airskin_sample2_minco_time	Wall=3:33.10; max_RSS=3685168 KB; exit=0; command=scripts/minco_profile_default.py --profile-preset candidate via default wrapper.
hmp_airskin_sample2_sylph_time	Sketch wall=0:50.07 max_RSS=988100 KB; profile wall=3:02.62 max_RSS=27170196 KB; exit=0.
hmp_airskin_sample2_score	Truth species=26; MinCO F1=0.8727272727272727 L1_union_pp=35.2477525658852 Pearson_union=0.9400352082065155; external baseline F1=0.8928571428571429 L1_union_pp=6.585787718359545 Pearson_union=0.9972639639246484.
hmp_airskin_25sample_with_sample2_score	MinCO mean_F1=0.8697101215076676 pooled_F1=0.8485335476094817 mean_L1_union_pp=23.04689552591068 Pearson_union=0.9792882424798125; external baseline mean_F1=0.9582098195327035 pooled_F1=0.9631929046563193 mean_L1_union_pp=5.405906765951578 Pearson_union=0.9979223722231396.
hmp_omitted_inventory_after_sample2	samples=2,8,12,26,27;truth=5/5;minco_profile=2/5;sylph_profile=2/5;ready_pairs=2/5;next action sample=8.
hmp_next_headroom_after_sample2	/tmp free=7.953 GiB; estimated required=6.531 GiB; conservative floor=12 GiB; alternate /mnt/new3T free=10.217 GiB; recommended_action=free_tmp_space_before_next_sample.
hmp_airskin_sample8_cleanup_before_run	Removed approved completed temporary FASTQ caches /tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample0.nonzero.fastq.gz and /tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample5.nonzero.fastq.gz; approximate scratch freed=8.278 GiB; profile and score artifacts retained.
hmp_airskin_sample8_fastq	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample8.nonzero.fastq.gz; size=4.2G; temporary.
hmp_airskin_sample8_stream_time	Wall=6:09.88; max_RSS=11264 KB; exit=0.
hmp_airskin_sample8_minco_time	Wall=3:36.38; max_RSS=3895088 KB; exit=0; command=scripts/minco_profile_default.py --profile-preset candidate via default wrapper.
hmp_airskin_sample8_sylph_time	Sketch wall=0:50.18 max_RSS=988236 KB; profile wall=3:01.05 max_RSS=27175232 KB; exit=0.
hmp_airskin_sample8_score	Truth species=56; MinCO F1=0.8088235294117647 L1_union_pp=19.710972221830687 Pearson_union=0.9757098818181669; external baseline F1=0.9824561403508771 L1_union_pp=7.967710234588014 Pearson_union=0.9929474783459914.
hmp_airskin_25sample_with_sample8_score	MinCO mean_F1=0.8671539717750473 pooled_F1=0.8459143968871595 mean_L1_union_pp=22.425424312148493 Pearson_union=0.9807152294242786; external baseline mean_F1=0.9617937794324528 pooled_F1=0.9658452226545612 mean_L1_union_pp=5.461183666600717 Pearson_union=0.9977497127999932.
hmp_omitted_inventory_after_sample8	samples=2,8,12,26,27;truth=5/5;minco_profile=3/5;sylph_profile=3/5;ready_pairs=3/5.
hmp_next_headroom_after_sample8	Corrected generated action=sample27; /tmp free=11.734 GiB; estimated required=6.531 GiB; conservative floor=12 GiB; alternate /mnt/new3T free=10.217 GiB; recommended_action=free_tmp_space_before_next_sample; sample27 truth_mapped_pct=94.72246785727798 is below the 95% release-grade threshold.
hmp_airskin_sample8_extra_call_diagnostic	audit_hmp_airskin_sample8_extra_calls.py maps sample8 called MinCO rows using the official HMP source-accession GTDB policy and writes hmp_airskin8_minco_call_status.tsv, hmp_airskin8_minco_missing_truth.tsv, hmp_airskin8_minco_call_status_summary.tsv, and hmp_airskin8_minco_filter_diagnostic.tsv.
hmp_airskin_sample8_extra_call_result	Current calls: TP=55 FP=25 FN=1 F1=0.8088235294117647; FP median s_XnY_ctx_max=4 and s_Ref_breadth_max=0.004; TP median s_XnY_ctx_max=575 and s_Ref_breadth_max=0.473972; the single FN is s__Haemophilus influenzae at truth_abundance=8.528136117527106e-05.
hmp_airskin_sample8_filter_diagnostic	min_breadth_ge_0.05 gives TP=55 FP=3 FN=1 F1=0.9649122807017544 and removes 22 FP/0 TP on sample8; drop_prob_lt_0.7_and_breadth_lt_0.2 gives TP=51 FP=0 FN=5 F1=0.9532710280373832; prior cross-panel call-filter audit still rejects simple output-only filters as default replacements due sample regressions.
cross_panel_call_filter_with_hmp_omitted_scope	sweep_cross_panel_call_filters.py --include-hmp-omitted adds HMP samples 2,8,26 to the existing four-panel call-filter sweep and writes cross_panel_call_filter_with_hmp_omitted_* outputs without replacing the original 32-sample audit files.
cross_panel_call_filter_with_hmp_omitted_result	35 samples; tested_filters=241; sample_safe_f1_filters=0; panel_safe_f1_filters=0; best mean-F1 filter is drop_prob_lt_0.7_and_breadth_lt_0.2 with mean_delta_F1=0.028620, worsened_samples=10, worsened_panels=2, mean_delta_L1_pp=-3.542619.
cross_panel_call_filter_hmp_extended_panel_result	On the 27-sample HMP panel with samples2/8/26 included, current mean_F1=0.867923 pooled_F1=0.848243 mean_L1=23.239398 pp; min_xny_ge_25 gives mean_F1=0.919836, pooled_F1=0.919323, mean_L1=20.853452 pp, worsened_samples=0, improved_samples=16.
cross_panel_call_filter_with_hmp_omitted_decision	Do not promote a simple output-only global filter. The HMP signal is useful for an adaptive trigger, but the expanded cross-panel sweep still has no sample-safe or panel-safe global filter.
adaptive_call_filter_switch_with_hmp_omitted_rule	audit_adaptive_call_filter_switch.py --include-hmp-omitted selects the top 12 filters from cross_panel_call_filter_with_hmp_omitted_overall.tsv, tests output-derived threshold switches over 35 samples / 4 panels, and uses truth only for scoring. Leave-one-panel-out validation holds out one panel at a time.
adaptive_call_filter_switch_with_hmp_omitted_result	12 candidate filters; tested_switch_rules=5454; nontrivial_switch_rules=5286; strict_sample_safe_switches=705; strict_panel_safe_switches=969. Best sample-safe switch is min_breadth_ge_0.05 when max_xny_median>=387.5, mean_delta_F1=0.043659, mean_delta_L1_pp=-2.127068, switched_samples=28. LOPO mean_delta_F1=-0.046909, improved_panels=2, worsened_panels=2, mean_delta_L1_pp=-0.513686.
adaptive_call_filter_switch_with_hmp_omitted_decision	reject_as_overfit_by_leave_one_panel_out; current_call_gate_remains_default.
hmp_fastq_cleanup_new3t	Removed 18 generated HMP FASTQ caches under /mnt/new3T/minco_release_holdouts_20260628; retained profiles, raw tables, scores, and logs; /mnt/new3T free space after cleanup=86G; no FASTQ/FQ files remain in that holdout workspace.
hmp_fastq_cleanup_tmp_before_sample27	Removed /tmp/cami2_hmp_airskin_20260625/reads/airskinurogenital_sample28.nonzero.fastq.gz and /tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample22.nonzero.fastq.gz before sample27 to restore scratch headroom.
hmp_airskin_sample27_stream_time	Wall=6:04.58; max_RSS=11264 KB; exit=0.
hmp_airskin_sample27_minco_time	Wall=3:38.49; max_RSS=4038320 KB; exit=0; command=scripts/minco_profile_default.py --profile-preset candidate via default wrapper.
hmp_airskin_sample27_sylph_time	Sketch wall=0:51.17 max_RSS=988180 KB; profile wall=3:08.02 max_RSS=27233508 KB; exit=0.
hmp_airskin_sample27_score	Truth species=88; MinCO F1=0.7232142857142857 L1_union_pp=35.63557088897479 Pearson_union=0.9623565751012435; external baseline F1=0.9550561797752809 L1_union_pp=11.662542606328246 Pearson_union=0.9937071344540854.
hmp_airskin_28sample_with_sample27_score	MinCO mean_F1=0.8627551354997932 pooled_F1=0.8388609715242882 mean_L1_union_pp=23.682118324376795 Pearson_union=0.9783447429104307; external baseline mean_F1=0.9578295855956799 pooled_F1=0.9616101379053299 mean_L1_union_pp=6.247123039736571 Pearson_union=0.997068450495887.
hmp_airskin_sample12_stream_time	Wall=5:44.84; max_RSS=11264 KB; exit=0.
hmp_airskin_sample12_minco_time	Wall=3:33.48; max_RSS=3686120 KB; exit=0; command=scripts/minco_profile_default.py --profile-preset candidate via default wrapper.
hmp_airskin_sample12_sylph_time	Sketch wall=0:49.86 max_RSS=988112 KB; profile wall=3:00.76 max_RSS=27152360 KB; exit=0.
hmp_airskin_sample12_score	Truth species=42; MinCO F1=0.9010989010989012 L1_union_pp=27.438082139121374 Pearson_union=0.9942676972765538; external baseline F1=0.9647058823529412 L1_union_pp=13.765698102452383 Pearson_union=0.9950886309536033.
hmp_airskin_29sample_with_sample12_score	MinCO mean_F1=0.8640773343135554 pooled_F1=0.840702210663199 mean_L1_union_pp=23.811634317988677 Pearson_union=0.9788938103023659; external baseline mean_F1=0.9580666992769648 pooled_F1=0.9617052023121387 mean_L1_union_pp=6.5063842487957375 Pearson_union=0.9970001808564978.
hmp_omitted_inventory_after_sample12	samples=2,8,12,26,27;truth=5/5;minco_profile=5/5;sylph_profile=5/5;ready_pairs=5/5.
universal_strategy_next_evidence_routes_after_hmp_omitted	Completed routes=hmp_airskin_omitted_samples_2_8_12_26_27,cami3_source_readmap_samples3_5_completed; top_next_route=marine_truth_upgrade; route decision=truth_upgrade_needed_before_release_use; current default remains supported with expected gaps only.
marine_truth_upgrade_candidate_rule_scope	audit_marine_truth_upgrade_candidate_rules.py reads marine_binomial_transfer_quality.tsv/detail.tsv and cached GTDB metadata; it does not rerun profilers or change the accepted marine truth transfer.
marine_truth_upgrade_candidate_rule_result	Accepted exact-binomial transfer min_mapped_pct_bacteria_archaea=91.005806 with ready_samples=0/10; diagnostic unique ambiguous-taxid epithet fallback rescues 51 rows and 3.146300 abundance-percentage-points but reaches min_mapped_pct_bacteria_archaea=91.292431 with ready_samples=2/10; unsafe all-ambiguous upper bound reaches min=99.411153 with ready_samples=10/10.
marine_truth_upgrade_candidate_rule_decision	do_not_promote_marine_truth_upgrade; truth ambiguity is not resolved by current cached deterministic candidate rules, so marine needs accession-level/source-specific truth mapping or a different clean holdout before release use.
universal_strategy_next_evidence_routes_after_marine_candidate_rules	Completed routes=hmp_airskin_omitted_samples_2_8_12_26_27,cami3_source_readmap_samples3_5_completed; top_next_route=marine_truth_upgrade; route decision=truth_upgrade_needs_external_truth_source; current default remains supported with expected gaps only.
marine_source_readmap_feasibility_scope	audit_marine_source_readmap_feasibility.py samples embedded marine reads_mapping.tsv.gz files from local sample3/4/5 archives with max_rows=2000000 per archive; it does not extract FASTQ files or rerun profilers.
marine_source_readmap_feasibility_result	Sampled readmap rows=6000000; direct_sequence_to_gtdb_matches=sequence_accession_rows=0;core_rows=0; unresolved_transfer_rows_sampled=314110.
marine_source_readmap_feasibility_decision	do_not_promote_marine_source_readmap_from_local_ids; local readmaps cover unresolved rows but source IDs need contig/OTU-to-assembly metadata, source FASTA provenance, source-specific truth mapping, or a different clean holdout before release use.
universal_strategy_next_evidence_routes_after_marine_source_readmap	Completed routes=hmp_airskin_omitted_samples_2_8_12_26_27,cami3_source_readmap_samples3_5_completed; top_next_route=marine_truth_upgrade; route decision=truth_upgrade_needs_source_mapping; current default remains supported with expected gaps only.
marine_source_mapping_local_inventory_scope	audit_marine_source_mapping_local_inventory.py checks local marine workdir /tmp/cami2_marine_samples3_5_20260625, the three local sample3/4/5 read archives, and sibling CAMI2 plant/strain crosswalk locations; it lists tar members but does not extract FASTQ files.
marine_source_mapping_local_inventory_result	Local marine crosswalk files missing: local_marine_genome_to_id.tsv, local_marine_gsa_pooled_mapping.tsv.gz, local_marine_metadata.tsv; archive relevant member status readmap_only_archives=3.
marine_source_mapping_local_inventory_decision	do_not_promote_marine_from_inventory_alone; setup metadata is present and pooled mapping remains missing, so inventory alone cannot promote the route. Use the setup truth-upgrade audit for the threshold decision.
universal_strategy_next_evidence_routes_after_marine_local_inventory	Completed routes=hmp_airskin_omitted_samples_2_8_12_26_27,cami3_source_readmap_samples3_5_completed; top_next_route=marine_truth_upgrade; local_status=truth_transfer_source_mapping_absent_locally; route decision=truth_upgrade_needs_source_mapping.
remaining_holdout_route_options_scope	audit_remaining_holdout_route_options.py consumes cached manifest, route table, marine source-mapping inventory, marine setup truth-upgrade audit, marine truth-upgrade candidate audit, plant/strain GTDB transfer summaries, and CAMI3 post-recovery audit; it does not run profilers or inspect read data.
remaining_holdout_route_options_result	Historical result before marine profile rescore: local viable uncompleted route was marine_selected_default_profile_rescore; locally exhausted routes included HMP omitted, CAMI3 samples3-5, plant local transfer, strain local transfer, and mixed readiness panel. Superseded by remaining_holdout_route_options_after_marine_profile_rescore.
remaining_holdout_route_options_decision	Superseded historical decision: top remaining route was marine_selected_default_profile_rescore before selected-default profile scoring completed. Current decision is remaining_holdout_route_options_after_marine_profile_rescore.
marine_setup_metadata_extraction	Extracted only simulation_short_read/genome_to_id.tsv and simulation_short_read/metadata.tsv from https://frl.publisso.de/data/frl%3A6425521/marine/short_read/marmgCAMI2_setup.tar.gz into /tmp/cami2_marine_samples3_5_20260625/setup_metadata; no FASTQ extraction.
marine_setup_metadata_truth_upgrade_scope	audit_marine_setup_metadata_truth_upgrade.py tests exact normalized source-name matches from marine setup metadata and strain/isolate tokens from the local RefSeq assembly summary against GTDB r232 metadata. Strict rule requires every setup source under an unresolved NCBI species row to map uniquely and agree; partial source-name rule is diagnostic only.
marine_setup_metadata_truth_upgrade_result	setup_genomes=977; exact_unique=300; exact_ambiguous=8; no_match=669; assembly_unique=472; assembly_ambiguous=6; assembly_no_match=499. Strict source-name-or-assembly rule min_mapped_pct_bacteria_archaea=95.029253 with ready_samples=10/10. Diagnostic partial source-name rule min_mapped_pct_bacteria_archaea=94.809534 with ready_samples=9/10.
marine_setup_metadata_truth_upgrade_decision	strict_setup_source_or_assembly_rule_clears_threshold_profiles_needed; local truth mapping cleared the 95% mapped-truth threshold. Superseded by marine_selected_default_profile_rescore_decision after profile scoring completed.
marine_source_mapping_local_inventory_superseded_result	Local setup metadata is now present: genome_to_id.tsv=1 and metadata.tsv=1 under /tmp/cami2_marine_samples3_5_20260625/setup_metadata. gsa_pooled_mapping.tsv.gz remains missing locally. Inventory alone does not promote marine; use the setup truth-upgrade audit for the threshold decision.
universal_strategy_next_evidence_routes_after_marine_setup_metadata	Historical state before profile rescore: completed routes=hmp_airskin_omitted_samples_2_8_12_26_27,cami3_source_readmap_samples3_5_completed; top_next_route=marine_truth_upgrade; local_status=truth_transfer_setup_metadata_ready_profiles_needed; route decision=truth_upgrade_profiles_needed; release gate pass=15 fail=0 expected_gap=2. Superseded by universal_strategy_next_evidence_routes_after_marine_profile_rescore.
marine_setup_truth_profile_rescore_script	score_marine_setup_truth_profile_rescore.py consumes the marine setup-metadata truth-upgrade outputs and scores profiles against rule strict_source_name_or_assembly_sources_unique. It supports selected-default calibrated profiles and older cached readwise-style profiles.
marine_setup_truth_profile_rescore_cached_sanity_result	Cached old-profile sanity run for samples3/4/5: MinCO cached mean_F1=0.845337 pooled_F1=0.845244 L1_union_pp=33.911918 Pearson_union=0.960435; external baseline mean_F1=0.838716 pooled_F1=0.839053 L1_union_pp=40.997305 Pearson_union=0.923667. Diagnostic only; outputs were overwritten by the selected-default rescore.
marine_selected_default_profile_runtime	samples3/4/5 selected-default profile runs used --profile-preset candidate, GTDBr232 S1000 annotated reference, --scope bacteria, -p16, and exact split. Wall times were 4:17.53, 4:17.15, and 4:17.11; max RSS was 4196268, 4151728, and 4162168 KB.
marine_selected_default_profile_rescore_result	Same-namespace selected-default rescore for samples3/4/5: MinCO mean_F1=0.781358 pooled_TP/FP/FN=725/182/225 pooled_F1=0.780829 L1_union_pp=41.299694 Pearson_union=0.886706; external baseline mean_F1=0.838716 pooled_TP/FP/FN=868/251/82 pooled_F1=0.839053 L1_union_pp=40.997305 Pearson_union=0.923667.
marine_selected_default_profile_rescore_decision	completed_negative_holdout_result; external baseline has higher F1 on the selected-default same-namespace marine profile rescore, so this route does not support default promotion.
universal_strategy_next_evidence_routes_after_marine_profile_rescore	Completed routes=marine_truth_upgrade,hmp_airskin_omitted_samples_2_8_12_26_27,cami3_source_readmap_samples3_5_completed; top_next_route=refined_allocator_candidate; decision=keep_opt_in_until_independent_release_holdout_passes.
remaining_holdout_route_options_after_marine_profile_rescore	Local viable uncompleted routes=none; locally exhausted routes include HMP omitted, marine selected-default profile scoring, CAMI3 samples3-5, plant local transfer, strain local transfer, and mixed readiness panel; top remaining route=refined_allocator_independent_release_holdout; decision=new_strategy_or_new_holdout_needed.
negative_route_failure_mode_scope	audit_negative_route_failure_modes.py is cached-only. It compares selected-default calls with truth for marine samples3/4/5 and CAMI3 samples3/4/5, then maps missed truth species against best-diff unique/split/exact raw tables. It also imports the existing HMP raw-table visibility audit as context.
negative_route_failure_mode_result	Marine+Cami3 completed-negative routes: 336/338 missed truth species are visible in raw best-diff rows; all high-abundance misses at >=1% truth abundance are raw-visible (13/13). HMP context also has 10/10 high-abundance misses raw-visible.
negative_route_failure_mode_decision	Prioritize in-pass candidate surface or gate recovery over more output-only threshold sweeps. This is diagnostic evidence, not a default strategy.
raw_candidate_retention_negative_routes_scope	sweep_raw_candidate_retention_negative_routes.py tests raw_default_major plus ANI/XnY/breadth/depth grids by adding raw-visible species to selected-default calls for marine and CAMI3 completed-negative routes. Truth is used only for offline scoring.
raw_candidate_retention_negative_routes_result	78 rules tested; 59 strict-pass rules had no route or sample F1 regression on marine and CAMI3. Best diagnostic rule raw_ani0.95_xny100_breadth0.05 gives min route delta pooled F1 +0.005061 and mean route delta +0.030664, adding 130 TP and 53 FP.
raw_candidate_retention_negative_routes_decision	Promising implementation candidate, but diagnostic_only_not_default. It needs an in-wrapper raw-candidate retention implementation plus cross-panel and independent validation before any default change.
raw_candidate_retention_cross_panel_scope	sweep_raw_candidate_retention_cross_panel.py replays the same 78 zero-mass raw-candidate retention rules across 43 cached samples / 7 panels: Toy Mouse samples5/6/7, HMP airskin current samples, HMP omitted samples2/8/12/26/27, HMP gastrooral samples0/6, CAMI3 source-readmap samples0/1/2, marine selected-default samples3/4/5, and CAMI3 extension samples3/4/5.
raw_candidate_retention_cross_panel_rules	raw_default_major plus ANI thresholds 0.93/0.95/0.97, XnY thresholds 100/250/500/650, breadth thresholds 0.05/0.10/0.20/0.30/0.50, and depth variants for ANI 0.93/0.95 with XnY 500/650, breadth 0.20/0.30, depth 2/5.
raw_candidate_retention_cross_panel_result	39 strict-pass rules had no sample or panel F1 regression. Best diagnostic rule raw_ani0.93_xny650_breadth0.20 gives mean_delta_F1=0.007355, min_delta_F1=0, sample_worsen_n=0, panel_worsen_n=0, added_TP/FP=54/11.
raw_candidate_retention_cross_panel_decision	Broader evidence supports raw-candidate retention as the next implementation target, but result remains diagnostic_only_not_default because rescued calls have zero abundance in the replay and runtime/default wrapper behavior is unvalidated.
raw_retention_surface_implementation	scripts/minco_profile_calibrated.py now exposes opt-in --candidate-surface-switch accession-ani93-xny650-br20. It uses raw accession rows with ANI>=0.93, XnY>=650, Ref_breadth>=0.20, and no real-AF gate. The default candidate preset remains accession-ani90-xny100-br01-af70 and is not changed by this implementation.
raw_retention_surface_smoke	One cached Toy Mouse sample5 table-mode smoke with --scope bacteria, --strategy universal-auto-exact, --candidate-surface-switch accession-ani93-xny650-br20, and --candidate-abundance-policy zero wrote /tmp/minco_raw_retention_surface_smoke_20260630/toymouse_sample5_ani93_xny650_br20_zero.tsv; wall=13.69 s; max_RSS=2815608 KB; rows=163; called=163; surface_added=1; surface_added_abundance_raw_sum=0.0.
raw_retention_surface_decision	Implemented as opt-in only. Before default promotion, replay wrapper outputs across the 43-sample panel and check F1, abundance side effects under zero versus normalized-depth candidate mass, runtime, and at least one independent same-namespace holdout.
raw_retention_surface_combined_switch	Opt-in --candidate-surface-switch accession-current-or-ani93-xny650-br20 preserves the current surface rule (ANI>=0.90, XnY>=100, Ref_breadth>=0.01, Real_min_align_fraction>=0.70) and adds the strict raw-retention rule (ANI>=0.93, XnY>=650, Ref_breadth>=0.20, no real-AF gate).
